ID;severidade;bloco;linha_planilha;campo;valor_na_planilha;valor_no_artigo;evidencia;explicacao;confianca_auditor;aceito_IVS;obs_IVS
AA_37;media;F_desempenho;133;F1-Score_raw;95.05%;"95.05% na Table IV, mas e a MACRO-media; o F1 da classe positiva (stunting) derivado da Table II e 90.57%";Table IV, p.4 (RF F1-score 95.05%) confrontada com Table II, p.4 (TN=1079, FP=5, FN=5, TP=48): F1+ = 90.57%, F1- = 99.54%, macro = 95.05%;Mesmo problema da linha 132: valor fiel a tabela, mas semanticamente e macro-F1 e nao F1 da classe stunting.;alta;;
AA_37;media;F_desempenho;134;F1-Score_raw;95.42%;"95.42% na Table IV, mas e a MACRO-media; o F1 da classe positiva (stunting) derivado da Table III e 91.26%";Table IV, p.4 (Stacked RFKNN F1-score 95.42%) confrontada com Table III, p.4 (TN=1081, FP=3, FN=6, TP=47): F1+ = 91.26%, F1- = 99.59%, macro = 95.42%;"Mesmo problema; a coerencia exata das tres macro-medias confirma que a Table IV inteira usa macro-average.";alta;;
AA_40;media;E_validacao;140;Validation Type;"k-fold CV (also mentions 70/30 holdout; reporting set not clearly stated)";"Metodos declaram divisao 70% treino / 30% teste; 'cross-validation' e citada sem numero de folds; as matrizes de confusao que sustentam as metricas somam N=3000 (base inteira), nao 900 (30%)";"Methods II.A, p.2 ('two classification models were applied using cross-validation'); III.B, p.4 ('the dataset is divided into 70% training data and 30% test data'); Table II, p.4 (2923+15+2+60=3000); Table III, p.4 (2937+1+0+62=3000); Conclusion, p.5 ('very small variation across folds')";As metricas quase perfeitas NAO vem de um conjunto de teste independente: as duas matrizes de confusao cobrem os 3000 registros, ou seja, o desempenho reportado inclui os dados de treino.;alta;;
AA_40;media;F_desempenho;140;Recall (Sensitivity);0.9998 (raw '99.98% (macro)');"99,98% e media macro dos dois recalls; a sensibilidade da classe positiva (stunting) derivada da Table III seria 62/62 = 1,000 e o recall da classe negativa 2937/2938 = 0,9997. O artigo nao reporta recall por classe.";"Results III.E, p.4 ('recall (Macro) of 99.98%'); Table III, p.4";"O campo normalizado guarda media macro numa coluna rotulada como sensibilidade da classe positiva; o raw sinaliza '(macro)', mas o valor normalizado nao e comparavel a sensibilidades de outros estudos.";alta;;
AA_40;media;F_desempenho;141;Precision / Recall (Sensitivity);"Precision 0.907 (90.75% macro); Recall 0.981 (98.08% macro)";Sao medias macro. Para a classe positiva (stunting), a Table II da precisao = 60/75 = 0,800 e recall = 60/62 = 0,968. O artigo nao reporta metricas por classe.;"Results III.E, p.4 ('precision (Macro) value of 90.75% and recall (Macro) of 98.08%'); Table II, p.4 (TN=2923, FP=15, FN=2, TP=60)";"A diferenca macro vs classe positiva e grande no KNN (0,907 vs 0,800 de precisao); usar o valor macro como precisao do desfecho superestima o desempenho na classe de interesse.";alta;;
AA_44;media;derivado_pelo_notebook;todas (144-147);antropometria_preditores;True;False - nenhum preditor antropometrico entre os 74 candidatos;Feature selection, p.5-7: 70 padroes temporais de condicoes codificados em EDC (binarios presenca/ausencia) + 4 demograficas (sexo ao nascer, raca, Medicaid/CHIP, faixa etaria na visita indice). Table 3, p.10, lista os 10 preditores mais importantes de cada algoritmo: todos sao codigos EDC ou variaveis demograficas (race_2, race_3, medicaid).;"Peso/IMC/z-score sao usados apenas para DEFINIR caso e controle, nunca como preditor; a circularidade real deste estudo e temporal (diagnosticos da visita indice), nao antropometrica.";alta;;
AA_54;media;F_desempenho;180;Recall (Sensitivity)_raw;0.847;0.847 no rotulo 'Sensitivity' da Table 4, mas 0.750 pela matriz de confusao (Table 5);"Table 4, p.8 - linha 'Sensitivity', coluna kNN = 0.847 (identica a 'Accuracy' = 0.847); Table 5, p.8 - TP=1352, FN=451, total observado stunting = 1803 -> 1352/1803 = 0.750";"A transcricao e FIEL a Table 4, mas o numero rotulado 'Sensitivity' pelo artigo e igual a acuracia em todos os 5 algoritmos e nao e a sensibilidade da classe positiva (que a Table 5 mostra ser 0.750 no kNN) - trata-se, na origem, de media ponderada entre classes do Orange, nao de recall do desfecho; o erro e do artigo e foi herdado pela planilha.";alta;;
AA_56;media;C_preditores;199-210 (campo constante em todas as 12 linhas);3 Most Important Features;"consanguineous marriage; household wealth; maternal education";NR;"Discussion p.12 ('RF's ability to produce feature importance scores adds value for public health planning') e p.14 ('RF enables the extraction of feature importance scores') sao as UNICAS mencoes a importancia de variaveis; nao ha tabela, figura nem lista ordenada de importance scores em nenhum ponto do artigo. Os tres nomes reproduzem uma frase narrativa da Conclusao (p.15): 'Key risk factors identified include consanguineous marriages, low household wealth, limited maternal education, and residence in rural areas or underdeveloped regions such as Sindh and Balochistan.'";"O artigo nao reporta ranking de importancia de nenhum modelo; a lista extraida vem de uma enumeracao narrativa de fatores de risco da regressao logistica (selecao pre-modelagem, sem ordem), o que pela regra da revisao nao e ranking, entao o valor correto e NR.";alta;;
AA_57;media;E_validacao;;Validation Type;"Holdout test set (20%, stratified); 10-fold CV used in hyperparameter tuning only";Holdout 20% estratificado pos-SMOTE (declarado como fonte de accuracy/precision/recall/F1) + linha 'Cross validation' reportada por modelo na Tabela 3 (RF 99.998%, AdaBoost 99.900%, XGBoost 98.410%, CatBoost 97.200%), com procedencia nao especificada pelo artigo;"Table 3, p.6 (linha 'Cross validation'); Methods p.5 ('RandomizedSearchCV with 10-fold cross-validation'; 'All reported metrics (accuracy, precision, recall, f1-score.) are based on the testing set')";"O 'only' afirma que nao ha resultado de CV reportado, mas a Tabela 3 traz uma linha de cross validation por modelo (que a propria planilha copiou em 'Other Metrics'); o vinculo dessa linha com o tuning e inferencia, nao texto do artigo.";alta;;
AA_57;media;G_eventos;;N Events;NR;7.286 (3.415 severos + 3.871 moderados) em 18.451, isto e, 39,5%;Methods, 'Class imbalance handling', p.4 - 'Before applying SMOTE, the class distribution 3415(18.5%), 3871(21%), and 11,165(60.5%) severe stunting, moderate stunting, and normal respectively.';"O artigo reporta as contagens por classe, entao 'N Events' nao pode ser NR; o proprio campo 'N Events_raw' da planilha ja traz 7286 - inconsistencia interna da planilha, nao do artigo.";alta;;
AA_58;media;F_desempenho;215;Metrics Source;"Figuras 2-3 + Results text; test set";"Figura 2 (p.8) e uma curva por epoca de TREINO e VALIDACAO, nao um resultado de teste; nenhuma acuracia de conjunto de teste e reportada no corpo";"Fig. 2, p.8 — titulo interno do grafico 'Model training and validation performance over Epochs', legenda 'Training Loss / Training Accuracy / Validation Loss / Validation Accuracy'; a curva de Training Accuracy chega a ~0,72 e a de Validation Accuracy fica em ~0,70-0,71. Results p.8: 'starting with an accuracy of 72% as shown in Figure 2'. A frase 'An overall accuracy of 72.0% on the test set' aparece SOMENTE no abstract (p.1).";"O valor 72% esta certo, mas a atribuicao ao conjunto de teste vem do abstract; a unica figura citada pelo corpo mostra treino/validacao e o pico de 0,72 corresponde a acuracia de TREINO.";alta;;
AA_58;media;C_preditores;215;Candidate Predictors (n);19;19 variaveis na Table 1, mas 23 inputs declarados no modelo e 24 features nomeadas na figura de importancia;"Table 1, p.5 (19 variaveis); Methods p.6 'The ANN was built using 23 inputs to predict stunting in Rwanda'; Methods p.7 Step 6 'The number of neurons in the input layer is equal to the 23 of input features'; Fig. 4, p.9 lista 24 rotulos de feature.";O n de preditores candidatos efetivamente levados ao modelo (23/24) e maior que as 19 variaveis documentadas na Table 1.;alta;;
AA_58;media;C_preditores;215;Predictor Notes;o ANN usou 23 input features apos dummy encoding das categorias;as 23/24 entradas sao VARIAVEIS DISTINTAS, nao dummies das 19 da Table 1: a Fig. 4 mostra 5 features que nao existem na Table 1 (Mothers_BMI, Television, radio, births_last5yrs, intestinal parasite) alem das 19 documentadas;Fig. 4, p.9 — eixo Y (de cima para baixo): mother_height, Child_size, Sex, Television, toilet, mother_educ, reading, Mothers_BMI, Residence, place_delivery, radio, mother_age, births_last5yrs, water, antenatal, breaststart, m_anemia, Province, Marital_stat, diarrhea, baby_age, intestinal parasite, Altitudes, birthweight. Comparar com Table 1, p.5.;"A explicacao 'dummy encoding' e uma inferencia da extracao contradita pela Fig. 4; alem disso, dummificar 19 variaveis (varias com 3 a 6 categorias) nunca daria 23 colunas.";alta;;
AA_59;media;derivado_pelo_notebook;n/a (rotulos derivados);antropometria_top3 / antropometria_preditores;"stunting False/False; underweight False/True; wasting True/True";"correto seria False para 'antropometria DA CRIANCA' nos tres desfechos; e True nos tres se o criterio incluir antropometria DOS PAIS, porque o preditor 'BMI' e o IMC DA MAE e entra nos tres conjuntos selecionados pelo Boruta e nas tres listas SHAP";"Table 1, p.5 ('BMI - Body mass index - Underweight, Normal, Overweight, Obese', na mesma tabela em que 'Age - Age of the respondents - 15-19 ... 45-49'); Results 3.1, p.11 - 'Underweighted mothers found the greater percentage of stunting (41.8%), wasting (13.7%), and underweight (33.2%)'; Discussion, p.15 - 'Mothers who are underweight face a much greater risk of stunting and wasting... Children of mothers with normal or above BMI have a lower risk of being underweight'; Results 3.2, p.11 e 3.4, p.13 (BMI nas tres listas)";Os flags confundem IMC MATERNO com antropometria da crianca e, alem disso, sao inconsistentes entre si (BMI aparece nas tres listas SHAP, mas stunting foi marcado False e underweight True).;alta;;
AA_61;media;derivado_pelo_notebook;232;antropometria_top3;True;False, se o criterio for antropometria da CRIANCA / do proprio desfecho;Fig. 1, p.6 (ranking: Mother height <160 cm, Mother height >=160 cm, Baby age <6 mo, Television no/yes) e Table 1, p.3 (Mother_height = 'Respondent's height in centimetres');"O unico item antropometrico do top-3 e a altura da MAE (antropometria parental); altura/HAZ da propria crianca nao esta entre os preditores, logo nao ha circularidade com o desfecho stunting.";alta;;
AA_63;media;F_desempenho;243;AUC;NR;"AUROC reportada em profusao: Tabela 1 (p.8) 0.81-0.93 no teste interno; Tabela 4 (p.17) teste interno 0.81-0.93, validacao temporal 0.81-0.92, validacao geografica 0.77-0.90";Table 1, p.8 e Table 4, p.17;"O campo normalizado AUC diz 'NR' (nao reportado) enquanto AUC_raw esta preenchido com 18 valores e o artigo reporta 54 AUROCs; risco de o unico estudo com validacao externa da revisao ser descartado de qualquer sintese quantitativa por leitura literal do campo.";alta;;
AA_63;media;E_validacao;243;Validation Type;"external (geographic, within-network); also holdout test and temporal validation reported";"O artigo NUNCA usa o termo 'external validation'. Diz 'geographic (using data from other sites) validations' (p.6), 'geographical (two different regional sites)' (p.7 e p.14) e rotula as linhas da Tabela 4 apenas como 'Geographic validation' (p.17). Os dois sites sao da propria rede Nemours Children's Health; nao ha coorte, instituicao ou base independente.";"Sec. 3.2, p.6; Sec. 4.1 ultimo paragrafo, p.7; Apendice B, p.14; Table 4, p.17";Ha de fato validacao geografica com numeros proprios (linhas 'Geographic validation' da Tabela 4), mas e within-network e os dois sites nunca sao nomeados nem caracterizados (sem N, sem periodo, sem distribuicao) — o rotulo 'external' e interpretacao do extrator (defensavel por TRIPOD tipo 3), nao termo do artigo.;alta;;
AA_01;baixa;I_obs;5;Notes;also labeled 'Family Boosting' in ROC figure;"nao ha figura de curva ROC no artigo; as unicas 3 figuras sao os graficos de feature importance (Figs. 1-3)";"PDF tem imagens apenas nas p.5 (Fig. 1, determinantes de stunting) e p.6 (Fig. 2 wasting, Fig. 3 underweight); a expressao 'Family Boosting' vem do texto corrido em Results III.B.1, p.4";"O texto do artigo descreve repetidamente 'the ROC curve' mas nenhuma curva ROC e impressa; a nota da planilha atribui a uma figura inexistente.";alta;;
AA_01;baixa;E_validacao;;Metrics Source / Internal Validation (study);Table I, test set (30% holdout) | 'models evaluated on the 30% test set';"Table I nao declara de qual particao vem; Methods II.A afirma as duas coisas";Methods II.A, p.2 — 'We used the testing dataset, comprising the remaining 30% of the data, to validate the predictive models and assess their ability to forecast undernutrition. On the other hand, we trained the models, identified the best ones, and assessed their effectiveness using the greater 70% of the data, known as the training dataset.' Table I, p.4, sem rotulo de particao;A leitura teste e a mais defensavel, mas o artigo se contradiz na mesma passagem e nunca rotula a Table I, entao a planilha afirma como fato algo que o artigo deixa ambiguo.;alta;;
AA_01;baixa;A_identificacao;;Dataset Name;2018 Moroccan National Population and Family Health Survey (ENPSF 2018), Moroccan Ministry of Health;"'the 2018 national population and family health survey ... carried out by the Moroccan Ministry of Health'; nas secoes Results/Discussion o mesmo dado e chamado de '2018 EDHS data'";"Methods II.A, p.2; Results III.B, p.3; Results III.B.1, p.4; Discussion IV, p.6 ('The 2018 EDHS data show that...')";A sigla ENPSF nao aparece no artigo (e inferida do titulo frances da ref. [4]) e a planilha nao registra que o proprio artigo rotula a base de forma inconsistente como EDHS.;alta;;
AA_02;baixa;C_preditores;;3 Most Important Features;top-3 do XGBoost replicado nas 21 linhas (inclusive LDA, Logistic, SVM, RF, LASSO, Ridge);ranking de importancia reportado apenas para o modelo XGBoost;"Results, 'The important determinants of childhood undernutrition indicators', p.8 - 'the XGBoost model was the best ... The top 20 most important variables that contributed to the model's accuracy are presented in Figs 4-6'; Fig 4 p.12, Figs 5-6 p.13 (titulos: 'XGBoost Feature Importance for ...')";"Os valores do top-3 estao corretos, mas sao especificos do XGBoost; atribui-los as linhas dos outros seis algoritmos sugere um ranking que o artigo nao reporta para eles. Afeta as linhas 18-23, 25-30 e 32-37.";alta;;
AA_03;baixa;A_identificacao;;Dataset Name;Bojongsoang Health Center stunting dataset (Bandung, Indonesia);Bojongsoang Health Center / Bojongsoang Community Health Center (cidade nao informada);Methods II.A e II.B, p.2 — 'data on toddlers will be collected from the Bojongsoang Community Health Center' / 'a stunting dataset ... collected from the Bojongsoang Health Center';"O artigo nunca localiza o posto de saude em Bandung; 'Bandung' so aparece na afiliacao dos autores (Telkom University, p.1), que a regra manda nao usar como origem dos dados.";alta;;
AA_03;baixa;D_modelo;;Hyperparameter Tuning;... Logistic Regression without tuning;NR no corpo (a afirmacao de que LR alcanca boa acuracia 'without extensive hyperparameter tuning efforts' esta so no Abstract, p.1);"Methods II.G.1, p.3 — descricao da LR nao menciona hiperparametros; Abstract, p.1 — unica mencao a ausencia de tuning";"A parte da LR do campo se apoia exclusivamente no abstract, que esta regra exclui como fonte; o corpo apenas silencia sobre tuning da LR.";alta;;
AA_03;baixa;D_modelo;;Imbalance Handling;"Random oversampling and random undersampling (each compared against no resampling); label inversion applied during encoding";oversampling e undersampling, sem especificar a tecnica (o artigo nao diz 'random', nem SMOTE, nem qualquer nome de metodo);"Methods II.D, p.2 — 'either by under sampling, i.e., removing majority class instances, or oversampling, i.e., by adding new minority instances'; Table IV, p.4 — linhas 'None / Undersampling / Oversampling'";"O qualificador 'random' nao esta no artigo; a comparacao contra 'no resampling' e a inversao de rotulos (II.E, p.3) estao corretas.";alta;;
AA_04;baixa;A_identificacao;41;Country/Region;Indonesia;NR (nao declarado);"Methodology III.A, p.2 - 'The dataset we obtained is sourced from kaggle.com and is titled ""Stunting Toddler (Balita) Detection""'; o artigo nao diz de que pais/populacao vem o dataset. Indicios indiretos: rotulos em indonesio na Fig. 3, p.3 ('Tinggi Badan (cm)', 'Umur (bulan)', 'Jenis Kelamin') e afiliacao dos autores (Bina Nusantara, Jakarta, p.1)";"O pais dos DADOS nao e reportado; 'Indonesia' e inferencia a partir do idioma das variaveis e do contexto/afiliacao, nao afirmacao do artigo.";alta;;
AA_04;baixa;A_identificacao;41;Age (months);0-60;"NR no corpo (apenas 'toddlers'/'balita'; Table I, p.2 mostra registros com age = 0 meses)";"Methodology III.A e Table I, p.2 - dataset com 'age (months), gender, height (cm), and nutritional status'; nenhum intervalo etario declarado. A expressao 'children under five years of age' aparece SO no Abstract, p.1 (fonte descartada por regra da revisao)";"A faixa 0-60 meses nao esta reportada no corpo do artigo; e deducao a partir de 'balita/toddler' e do titulo do dataset.";alta;;
AA_05;baixa;A_identificacao;todas (42-50);N (sample)_raw;7079.0;7886 (arquivo kids recode) -> 7079 apos exclusoes;Methods 2.1, p.3 - 'We have used a kid's recode file from BHDS, 2014, comprised of 7886 respondents. A total of 7079 respondents were selected after eliminating 807 missing values for the final analysis.';"A planilha repete 7079 em N (sample) e N (analysis); o N total antes das exclusoes reportado no corpo e 7886, embora o valor correto apareca nos campos Inclusion/Exclusion e Missing Data (n) da mesma linha.";alta;;
